Feature,Importance,Importance_Pct
lag_7,1440,9.4
diff_1,1397,9.11
lag_1,1247,8.14
rolling_std_3,905,5.9
diff_7,840,5.48
rolling_min_3,792,5.17
lag_30,674,4.4
rolling_max_3,664,4.33
log_return_7,639,4.17
rolling_mean_3,621,4.05
lag_14,590,3.85
rolling_mean_7,581,3.79
ema_7,571,3.73
rolling_std_14,480,3.13
rolling_std_7,463,3.02
DayOfWeek,401,2.62
rolling_mean_14,396,2.58
rolling_mean_30,300,1.96
ema_30,286,1.87
time_idx,261,1.7
rolling_max_7,242,1.58
rolling_min_14,216,1.41
ema_14,212,1.38
rolling_min_7,208,1.36
rolling_std_30,208,1.36
roc_7,125,0.82
rolling_max_14,92,0.6
momentum_7,90,0.59
sin_month,77,0.5
Month,75,0.49
cos_month,67,0.44
rolling_max_30,66,0.43
rolling_min_30,52,0.34
trend_component,40,0.26
Quarter,5,0.03
IsWeekend,4,0.03
